Oscar Wilde
Paul Auster
Pablo Neruda
Patricia Highsmith
Nicholas Sparks
Fernando Pessoa
Paulo Coelho
José Luís Peixoto
Isabel Allende‎
Roberto Bolaño
Gabriela Mistral
Anne Rice
Raymond Carver
Gore Vidal
James Joyce
Emma Donoghue
Alexandre Herculano
José Saramago
António Lobo Antunes
Escritor inventado
Isabel Allende‎
Antonio Tabucchi
Jorge Amado
Haruki Murakami
Orhan Pamuk
Nao existente
