Oscar Wilde
Paul Auster
Pablo Neruda
Patricia Highsmith
Nicholas Sparks
Fernando Pessoa
Paulo Coelho
José Luís Peixoto
Isabel Allende‎
Gabriela Mistral
Anne Rice
Raymond Carver
Gore Vidal
James Joyce
Emma Donoghue
Alexandre Herculano
José Saramago
António Lobo Antunes
Isabel Allende‎
Antonio Tabucchi
Jorge Amado
Haruki Murakami
Orhan Pamuk
